text,sentiment
里面我个人觉得比较实用的功能是相框和快捷键功能,1
这全部要得意于优秀的外壳材质和精良的手机做工,1
变焦也和顺畅,1
开机处设计真的很失败,-1
高感下的画质很优秀,1
铃声音量小,-1
而且手机的功能菜单等各方面的设计比较人性化,1
拍摄音稍闷,-1
音响效果不错,1
铃声屏幕俱佳,1
但价格昂贵,-1
后台运行特么费电,-1
声音太小,-1
扩展功能强,1
后盖不严,-1
发热一般,-1
外观尽显专业气质,1
屏大经验,1
铃声音量不是太大,-1
连拍强大,1
通话效果及信号很好,1
声音清楚而且大,1
按键反应速度有一点慢,-1
但实际功能很实用,1
软件应用很流畅,1
操作手感很好,1
成像也一般,-1
听筒声音大,1
听看小电影音质音量还可以啦,1
性价比高,1
高质量的喇叭,1
待机时间稍短,-1
正面非常帅,1
响亮的免提通话,1
通话信号好,1
魔声音效很震撼,1
色彩丰富,1
采用了出众的双彩屏幕设计,1
其实的设计并没有那么糟糕,1
对焦比快,1
二是触屏不是很灵敏,-1
另外黑莓的桌面管理软件相当于的比较不人性化,-1
待机也极为耗电,-1
保证了的良好扩展性,1
用户在使用时也会感受到机身的细腻,1
其图片显示的较为逼真清晰,1
老爸说字好大,1
灵敏度高,1
音响效果也很好,1
音质方面是差了点,-1
自动白平衡没有准,-1
设计也很棒,1
外观较时尚,1
听筒声音好,1
合并全景照片各种有趣的画框较高内存容量让不是专业的数码拍照手机用户使用起来得心应手,1
特色当多媒体工具使用感觉很爽,1
铃声低音丰富,1
续航能力只能算一般,-1
待机时间短,-1
配合的界面非常炫,1
同时手机屏幕的显示效果也是十分的令人满意的,1
特色也很明显,1
而且键盘背景灯颜色很暗,-1
色彩鲜明细腻,1
手机的拍摄功能非常的强大,1
但本人觉得效果不明显,-1
成像属于最好的一类,1
按键感觉非常舒适,1
另外拍摄模式也很少,-1
充电快,1
耳塞还行,1
仅运行内存性能表现不会太强虽然采用了全新的架构,-1
待机时间还可以,1
信号接收能力强,1
闹铃响铃时间不足,-1
造型明显成熟,1
也就是照的相片比以前的清楚些,1
层次分明,1
早前的诺基亚机在网上被批机身发热及电池不给力,-1
这项功能确实很有用,1
色彩灰常鲜艳真实,1
商务功能一应俱全,1
还有动态磁帖非常酷炫,1
反倒是接挂电话的两个按键不大好用,-1
铃声音量大,1
动画屏保还可以,1
每个细节都一丝不苟,1
字太大,-1
小的美丽外形,1
来电铃声超大,1
而且效果不好,-1
最后就是电池待机时间表现一般,-1
导航功能很好,1
机身手感一般,-1
就感觉出来的片子更糟,-1
烦人的短信住逐行阅读方式菜单,-1
弧线圆滑外型简约又不失张扬,1
声音清晰,1
不如做工好,-1
无线方面感觉接收要强点,1
来电铃声音量低不知道是不是喇叭装在手机背部的原因所致,-1
音色纯正而丰富,1
质量很好,1
操作也不够准确,-1
我只能说正常咯,1
手机运行还是非常流畅,1
设计不错,1
机身后的闪光灯很漂亮,1
手持使用的手感较好,1
操作方便,1
的外观给人简单干练的感觉,1
彩色待机图片颜色均匀,1
应用体验经过优化的安卓系统体验非常好,1
做工不如其他国际品牌精致,-1
速度及慢,-1
电话簿功能还可以,1
扩展性强,1
效果也很不错,1
性能貌似也不弱,1
视频能力强,1
确实看起来没帅气,-1
通话质量很好,1
色彩浓郁,1
而且外屏周围的椭圆形设计也很漂亮,1
铃声很小,-1
显示效果十分的令人满意,1
独特的分级词汇功能,1
并且外壳好像很容易磨损,-1
摄像也是差不多的,1
第一次用它的键盘时竟然觉得太生硬了,-1
的做工还是非常精致的,1
铃声也很大,1
全键盘的按键太难用了,-1
摄像头还可以,1
真的就是系统慢了点,-1
磨砂后背手感巨佳,1
软件软件兼容性上面有些不爽,-1
还有就是电池不是很耐用,-1
音质清晰,1
听筒的音量一般或者说小,-1
强大的商务功能,1
闪光灯形同虚设,-1
游戏的耐玩性太差,-1
播放有声动画也比较顺畅,1
笔尖和保护贴之间有点涩,-1
她迷幻的色彩打动了无数人的心,1
低频和高频部分表现就稍差,-1
音量也够高,1
彩色偏暗黑,-1
屏幕大,1
幸好其他铃声声音还不错,1
键位设置不如全副方便,-1
的内存显然是不够的,-1
并且具有良好的红外兼容性,1
手机厚度虽然比现在的有些超薄手机略厚,-1
待机时间实在是不敢恭维,-1
但是界面华丽绝无卡顿,1
机身异常简约,1
跟踪对焦很有趣的对焦方式,1
后盖有点软,-1
所以整体色彩表现一般,1
变焦阻尼手感还行,1
拍摄效果果然是差,-1
大确实是很不错的一款核强机,1
屏幕设置很灵活,1
系统流畅程度不错,1
整体感觉也还成,1
机身契合严密,1
对焦挺准的,1
另一个就是其自带内存太小了,-1
数字键盘设计外形别致,1
的机身看上去没有以前的版本那么厚重扎实,-1
清晰的通话音质,1
不过感觉快门很涩,-1
屏幕可视角度大,1
供货商的防伪标签很讨厌,-1
手感不错,1
握持不舒服,-1
的大屏真的太霸气了,1
运行流畅,1
连接电脑上传资料的软件还不够人性化和方便,-1
信号不好,-1
分辨率也不高,-1
内存大,1
具体说就是对比度差,-1
也就是说红外线的操作简单易用,1
收音机的效果不错,1
磨沙的外壳不易留下指纹,1
整体感觉这四款游戏可玩性比较一般,-1
手感好,1
游戏比多,1
通话质量差这点最不能忍受和诺基亚不是一个级别的现在打电话都要狮吼对方才能挺清楚,-1
因为画面立体感已十足,1
功能够实用,1
都是很好的机子,1
铃声音效悠扬洪亮,1
拍照键有点小,-1
附带的音乐也响亮,1
软件也不少,1
震动也太软,-1
因此在传音乐文件时速度比较慢,-1
因此使得屏幕画面不够精细,-1
质量感觉不错,1
二是体型偏大了,-1
整机设计线条简洁不失流畅,1
还有值得赞一下的就是两机器的都很好,1
按键反应速度有一点慢,-1
诺基亚是一款综合素质比较出众的音乐机型,1
电话本查询麻烦,-1
而且按键的整体手感有些生硬,-1
而且由于屏幕的尺寸小,-1
因为它的功能很不错,1
其他功能也很实用,1
新的数据接口更小,-1
的闹钟功能在时间安排上设计得非常人性化,1
耳机质量不好,-1
某些设置过于简单,1
样子讨人喜欢,1
功能很强大,1
但是在手机的这个屏幕上显示的字体过小,-1
耗电量大,-1
照相有点失望,-1
音量大,1
简单易用其实智能机你只要看过扫盲贴都简单易用黑莓的简单体现在不需要签名刷机的时候比起非大陆行的也方便一点,1
我觉得真的很大气,1
是颜色表现更舒服,1
屏幕真的很清楚,1
升级慢,-1
色彩还原程度令人咋舌,1
色彩饱满,1
手机的音质中频表现还可以,1
高感也不错,1
高感的确惊艳,1
一般的实用工具还是比较齐全的,1
松下的对焦速度太爽了,1
但实际使用中按键偏小,-1
要知道信号好可是的招牌,1
电容触摸屏爽快大屏幕,1
外放的声音手机外放无音质可言烂,-1
对音色的还原能力较好,1
而且短笔太短,-1
桌面很干净,1
操作系统复杂,-1
相机确实很牛,1
专业音乐播放,1
手机造型美观,1
但铃声品种单一,-1
总体来看拍照的各项功能齐全实用,1
备忘录功能还不错,1
性能很强大,1
电池太渣,-1
户外模式音量太小,-1
菜单的延迟现象有些明显,-1
所以精确度很高,1
这也从另一个侧面体现出电源管理系统的出色,1
握感很舒服,1
娱乐性能强大,1
效果好,1
还有后盖特容易脏,-1
比较做工比较紧实,1
较长的充电完成时间,-1
的数字键盘部分的按键过于细小,-1
还有个我没搞明白的就是的地图明显老旧于,-1
来电防火墙非常好用,1
该机器控噪能力还可以,1
上网或看短信时文字显示效果不佳,-1
但是在手里的握持感非常好,1
它在屏幕尺寸上并不占什么优势,-1
信号不错,1
性能稍嫌不足,-1
但听起来效果还不是那么理想,-1
而且功能按键排列的过于拥挤,-1
这款机子从外观上讲充分显示出了优秀精致的做工,1
就是按键按下去手感不好,-1
闪光灯也亮,1
现在价格很好,1
电话本的容量太小只有条,-1
太大,-1
不过拍的要比鲜艳点,1
手机很轻薄,1
另外的快门声大且沉重,-1
超薄苗条的身材,1
三菱还具有一个很有创意的功能――内置了精美的像框,1
游戏数量略显不足,-1
我的屏幕可视角度很好,1
拍摄功能的强大使足以媲美一台高端数码相机,1
原配耳机音质太差,-1
录制的录像放电脑上清晰,1
和功能真不错,1
手感不错,1
读写卡速度慢,-1
没有后退键不方便,-1
长的特别漂亮,1
的按键比较柔软,1
听筒声音也比较大,1
高感也不比差,1
信息干扰比较大,-1
但是那颜色真的太夸张了,-1
色彩冷,-1
省电模式不错,1
手机铃声小基本能够忍受,-1
虽然屏幕的细腻程度不高,-1
感觉做工也差还好我找到以前的一个诺基亚耳机,-1
色彩鲜艳,1
而且其结构简洁清晰,1
颜色很好,1
电话本的容量太小只有条,-1
显示很清楚,1
噪点控制比好,1
键盘颗粒比要大,1
但是实际使用中要比快很多流畅很多,1
对这款功能几乎完善的机子,1
光线暗出来的效果也不错,1
可是那个尴尬的系统,-1
照大尺寸的照片的时候手机反映速度太慢,-1
机子整体感觉还可以,1
键盘手感不错,1
字又太小了,-1
的笔画输入很特别,1
铃声的音量虽然要比大声,1
分辨率高,1
画质着实不错,1
待机时间长,1
层次感不错,1
高分辨率决定了其拥有比以往采用分辨率的娱乐机型更精细逼真的画面效果,1
具有丰富的中文输入联想功能,1
音频播放我认为应该可以算是它的最大优点了,1
智能联想输入法非常好用,1
整个屏幕颜色偏红,-1
就是色彩比较淡,-1
总结总体来说非常好,1
体积有点大重,-1
音质清晰,1
而且音量调节键偏硬,-1
干净利落的外观会让使用者看起来更加干练,1
可惜性价比差,-1
色彩饱和度不佳,-1
索爱的原配耳机就已经很完美了,1
整体感觉就是简洁,1
三星的键盘的做工精细,1
所以个人观点在这方面最优,1
还好服务态度不错,1
穿透力好,1
快捷键的搭配也合理,1
我感觉还是不错的,1
功能自然比一般相机要多许多,1
小分辨率屏幕无需太亮就很亮丽,1
出图也没此刻的干净,1
其实我觉得那个翻转屏挺好,1
三星确实存在太艳丽,-1
最基本的续航太烂了,-1
充电接口保护套比较严实,1
但是便携性较差,-1
屏幕较小,-1
铃声效果不错,1
铃声小到听不见,-1
所以手机整体的色彩表现力就稍微的差了一点,-1
显示屏远远好过小五的,1
尺寸还是比较娇小玲珑,1
开机速度超快,1
从简单的几个操作来讲速度比要快,1
按键偏硬,-1
双核玩极品飞车非常流畅,1
亲自试试荣耀的操作体验还不错,1
卡上的文件不方便管理,-1
平常的介面不太好看,-1
通话够清澈,1
侧滑的键盘对我这样经常查英文单词的人来说很实用,1
造型大气简约,1
本来准备入手发现实物太小,-1
键盘设计也十分简洁漂亮,1
三款游戏的可玩性较高,1
画面的亮度均匀,1
铃声种类丰富,1
电话回音大,-1
的价钱有点高,-1
而且铃声很大,1
但强光下拍的照片太暗,-1
信号不错,1
相机对焦和成像速度都慢了很多,-1
上网的流量吓人可能是系统不设防城门都没有,-1
动作流畅,1
听筒和外置扬声器配合得不是很好,-1
连续自动对焦的速度是最差的,-1
除了高像素之外,-1
选更多是因为有个据说不太成熟的系统,1
而上万条的联系人资料存储容量也理所应当的成为手机的一个主要优点,1
首乐曲的大容量给了用户更广阔的选择空间,1
再配上太极双色外观设计相当时尚,1
音质一般,-1
以及个性化的主题,1
电话薄的功能就显得很不科学了,-1
听筒效果也不错,1
外置扬声器差的没话说了,1
该机的拍摄功能也比较多,1
画面色彩细腻,1
功能全面,1
色彩灰暗,-1
同步效果相当不错,1
拆后盖太太太太太太太不方便,-1
管理方面可谓非常强大,1
就能达到非常亮丽柔和的视觉效果,1
质量实在不敢恭维,-1
存储速度慢,-1
正面的金色和银色的快捷操作键做工稍微粗糙了些,-1
颜色没有的那么艳丽本人感觉的颜色过于失真但是的显示设置里面是有调整颜色的选项的,-1
但外放效果声音洪亮,1
机身可使用内存太少了,-1
软件反应速度慢,-1
整体键盘手感欠佳,-1
低感下画质相当干净各,1
声音饱满,1
比老婆的显示效果又强出不多少,1
信号捕捉快,1
运行速度稍微慢于存储在内存中游戏的速度,-1
打开网页非常迅速,1
音效也不错,1
而在三星当中较为有特色的功能可算是健康这个功能了,1
或许是触控芯片的灵敏度低,-1
电话本不好用,-1
再是黑色比例很协调,1
发现很好,1
来点闪很有创意,1
但是的流线风格显然不比差,1
周边对焦点能用在反差高的地方还是很坚挺,1
而且屏幕像素颜色位数等指标都很高,1
光线强度也较大,1
机子整体感觉不错,1
操作界面虽然说比较简单,1
且屏幕色彩的过度还原度以及屏幕的亮度饱和度也都是非常的出色,1
这个体积已经是很理想的了,1
菜单设计比较合理,1
这款手机的英语辞典功能很强,1
数字键布局合理,1
总体感觉很不错,1
对焦就是比快准,1
现在市面上的配件很少,-1
我那台健在的开到最大声音质依然完美,1
扬声器音量小,-1
系统运行非常流畅,1
所以用户还是可以享受相当丰富的手机的拍摄能力,1
反弹的力度也是表现一般,-1
机身的操控性能很好,1
但整体的娱乐性还是比较单调的,-1
因为经常看到有人说的声音一塌糊涂,-1
后台程序管理太差,-1
携带方便,1
音乐节奏也过于传统,-1
听筒外放都好,1
不仅噪点把握的不好,-1
那个拍照实在是太好了,1
电话本更是具有条的大容量存储,1
发现它的信号不错,1
手机连接电脑真心费劲,-1
就是现在价格个人感觉还是偏高,-1
听通筒的音量也不错,1
音乐按键别具一格,1
杂音很小,1
该机最大的一个优点就是待机时间超长,1
应用列表用字母查询其实也蛮方便的,1
三菱专利的整体镜面外屏流露出的时尚感觉让人一见倾心,1
还有就是摄象头的位置不太合理,-1
音质清晰,1
内置很多软件很贴心很方便很实用,1
加上内置华丽的菜单及风格主题,1
保密功能强,1
拍照操作简易实用,1
自动白平衡更准确,1
屏幕色彩显示效果较差,-1
相信可以在一定程度上祢补显示效果的不足,-1
我相信中心点绝对够用,1
音质一般,-1
快门声音比我想象的大得多,-1
听歌比音质好,1
秉承了时尚高贵的外形设计,1
感觉音乐目录有点乱,-1
这项功能还是十分的实用的,1
摄像效果在像素的手机居于前茅,1
反应比较准确,1
手机听筒及外放声音偏小,-1
声音也小,-1
娱乐功能相对比较单调一些,-1
通话质量可以,1
人脸检测和笑脸拍摄很贴心,1
游戏免费的不少,1
效果令人满意,1
信息量很大,1
拍照能力差,-1
机器屏幕确实很华丽,1
铃声和通话的声音小,-1
外观霸气,1
关于照相速度还算可以,1
耳机立体效果较强,1
万摄像头一般,-1
网上有不少朋友反映滑盖容易松动,-1
屏幕超大,1
纠结的系统,-1
手机预置的游戏数量和质量都显得比较一般,1
画质确实比小五提升了,1
魔幻立方也是华而不实,-1
就是身材要比诺基亚憨厚的多,-1
屏幕的分辨率很低,-1
但由于的体积较小,1
做工非常好,1
音效出色,1
音质一般,-1
白平衡确实比较有问题,-1
最致命的是显示像素相对于其配置来说不够高,-1
的数据线真是太落伍了,-1
广角时畸变很讨厌,-1
但驱动有点慢,-1
电池待机能力一般,-1
而且电池和手机的密合性不够,-1
还有就是流畅度没有想象中好,-1
铃声很细腻,1
信号也很好,1
客观的说这机子画质还好,1
但是每个功能都重规重矩,-1
高清视频非常流畅,1
查找电话时操作较繁琐,-1
后盖结合也很紧密,1
但操控极快,1
相机微距对焦很快,1
手机内留下载铃声的空间太小,-1
价格也最高,1
最吸引人的是它英寸的超大屏幕,1
扬声器有暇疵,-1
控噪能力很不错,1
并且自己不喜欢不标准的分辨率,-1
高象素,1
屏幕超大,1
机身内存过小,-1
而且功能键较密,-1
充电器与平板连接不是很可靠,-1
外观小巧圆润,1
外观不错,1
信号很强,1
电力很快不足,-1
信号不怎么好,-1
但是总觉得触屏确实用起来比较爽啊,1
感觉分辨率在寸屏上显示效果不错,1
城市万花筒很好玩,1
显示效果十分明显,1
音效差反正不怎么听歌这个也无所谓,-1
游戏进入比较慢,-1
另外听筒的音量也不大,-1
就像上面说的操作很顺滑,1
手机系统界面华丽,1
外放音质尚可,1
色彩的光亮柔和细腻度都不错,1
搜索键挺碍事,-1
电话薄功能做得比较好的,1
耳机太差,-1
菜单及界面设计很好,1
音质没我索爱好,-1
外型时尚,1
键盘灯也很漂亮,1
但是开机速度还是挺快的,1
金色的标记与黑色的整体搭配非常时尚,1
自带的拨号程序已经挺不错了,1
确认退出两个按键不是很方便,-1
声音清晰,1
按键的声音大,1
传输速度还可以,1
价格实惠,1
闹钟功能齐全,1
屏幕惊艳,1
反映速度超慢,-1
手机自带的铃声不好听,-1
软件运行流畅,1
服务指示灯其颜色都是非常靓丽的,1
圆润的按钮其实手感很不错,1
正面光洁的玻璃,1
听筒声音太小,-1
我对这个机子的内放音质有点失望,-1
海尔手机的通话质量一直是很不错的,1
键盘设计还算简便合理,1
具有鲜明的个性和典雅的外观,1
结构紧凑严密,1
手感很舒服,1
把锐度和色彩调到最高的效果就还不错,1
只是控制和手感恐怕没有这么舒服,-1
显示效果真心很赞,1
外观没有效果图上的抢眼,-1
上键则不大好用,-1
运行速度绝对的流畅,1
预设铃声太少,-1
信号不好,-1
各频段的音色表现也十分出色,1
通话声音实在太小,-1
短信提示音单调,-1
华盖也很设计的也很好,1
通话效果不错,1
操纵不方便,-1
后面下了点小游戏画面绝对完美,1
低感不纯净,-1
音质佳,1
屏幕超靓,1
待机时间短,-1
价格还是可以,1
的屏幕很霸气,1
所以感觉按键排列得太过密集了,-1
低感下画质较肉,-1
而且这款摩托罗拉手机的内部屏幕显示效果也不是十分的令人满意,-1
操控方便,1
个人觉得收音功能是最实用的,1
那么墙纸的可视面积非常的大,1
在嘈杂的环境中打电话效果不好,-1
按键有些硬,-1
做工不太好,-1
同时具有强大的多媒体功能,1
而且拍照速度很快,1
而它的短信功能也是值得称赞的,1
打电话查号码确实不便,-1
电池使用寿命短不过该机器已经设计了外接电源的线孔,-1
噪点也不明显,-1
下载铃声的空间太小,-1
但玩起游戏来耗电实在太快了,-1
万像素对于一般用户来说足够了,1
太薄易摔坏易磨损,-1
电池就一般般,-1
这样一来不仅让人感觉屏幕的对比度更高了,1
唤醒屏幕的开关机键忒小了,-1
录像效果很爽,1
但体积不小,-1
铃声太小,-1
和弦的铃声声音清澈,1
效果不错,1
屏幕上面的面积过大,-1
连拍速度比下降一半的确很意外,-1
系统很流畅,1
制造精细,-1
这款手机的说明书写得实在很不详细,-1
还带了点自动对焦点对焦速度不错,1
听歌的音质还是可以的,1
机身轻巧,1
但是这款手机的耳机输出功率比较小,-1
就是紫边太严重,-1
但是有不少软件都不顺,-1
手感也很好,1
手感不错,1
简约而不失时尚的外型靓丽的屏幕和舒适的手感,1
整机做工优秀,1
我认为一年前的的用户体验绝对不差,1
给力的色彩,1
但是通话质量真的很好因为我只用一张的卡所以暂时没发现那个用大卡爆音的问题,1
屏幕的色彩表现力色彩的层次感很出色,1
由于巧妙的外形造型使得给人的整体印象依然十分小巧,1
外接闪光灯真丑,-1
外型好看了,1
整机也偏小一点,-1
有铃声太小的问题,-1
触感很好,1
握感不是十分的充盈,-1
摄像还马马虎虎,-1
电话本功能强大,1
当然的优势在于对得更准,1
而且配件的质量都还不错,1
穿透力也不错,1
外形确实有点大了,-1
屏幕大,1
待机时费电也很快,-1
保证画质细腻,1
当然的很多手势操作很人性化,1
话筒还可以,1
画质锐利,1
灯光效果很炫,1
电池的确一般,-1
三菱拥有炫酷的外形,1
锋利的成像,1
其可玩性还是比较令人满意的,1
但是三星的全时手动对焦非常方便,1
手感很好,1
摄像效果只能说一般,-1
但拿在手里握持感非常好,1
屏幕保护设置简单适用美观,1
但是书写时手感既涩且硬,-1
时钟功能很好用,1
待机时间短,-1
是做工厚实,1
虽然在户外环境下色彩还原图像层次感较好,1
外观炫酷,1
其实它的外观很简约,1
室内室外通话均十分清晰,1
游戏方面太烂,-1
铃声效果很好,1
色彩偏暖,-1
全键盘比想象中的要小不少,1
和弦铃声够大,1
这么好看的外观为什么拍照效果十分一般其实算是不错了但是个人觉得配不上这个价位和外观应该有的拍照效果,-1
屏幕很好,1
颜色看起来还可以,1
目前市场价格还是比较高,-1
各类中的按钮设计混乱,-1
手机漂亮的说,1
电池很给力,1
短信功能非常实用,1
铃声穿透力不是很足够,-1
输入法切换很不方便,-1
菜单弹出的速度较慢,-1
来电铃声音量也够大,1
每秒张的连拍速度在同价位机身中很值得赞赏,1
软件不是很稳定,-1
耳机播放音质不错,1
使拍照时手机持握感很强,1
磨砂质感手感出色,1
还是诺基亚的信号好啊,1
配置高,1
但是充电很快的,1
摄象还算可以,1
主要是因为色散控制不好的原因,-1
的对比对焦显然没有的相位对焦快,-1
拍摄效果不错,1
金属外壳当然很值得一提啦,1
摄像头旁的补光等亮度还可以,1
的照相功能比较全面,1
收音机效果不错,1
即使冲印成寸照片也是效果出众,1
摄像头的效果不好,-1
背光效果非常好,1
下载铃声方式太单一,-1
操作十分简单,1
屏幕没的说清晰细腻真实对比,1
屏幕面积较大,1
不过当我使用真机的时候发现这台相机的操纵十分方便,1
虽然手机的尺寸并不算很薄,1
中文输入法反应比较缓慢,-1
它的机身略长,-1
外观漂亮时尚,1
实际应用的色彩层次感较强,1
照远景效果比许多机子差,-1
令人称赞的工业设计水准,1
对比度好,1
不过稍感遗憾的是各按键之间的缝隙有些大,-1
屏幕分辨率高,1
运行速度令人满意,1
高感尚可,1
但是在使用时的介面却比较方便,1
速度上比只能用的卡要快,1
字体偏小,-1
首先感觉字就小了不少,-1
系统非常稳定,1
内存不是很大,-1
手感不错,1
只是音量不是很大,-1
按键宽大,1
质量好,1
电池电量还算够用,1
太阳下拍人像非常有优势,1
而且动画比韩系手机好太多了,1
对焦慢,-1
电池图标显示不准确,-1
触感也非常不错,1
并且以其独特的双面式设计,1
位于屏幕下方的上网键很碍手,-1
铃声效果悠扬动听悦耳清脆,1
信号都蛮好,1
外形佳,1
操作有些不方便,1
总体来讲的声音效果算是中规中矩,-1
外型还可以,1
此功能形同虚设,-1
但是屏幕的亮度还是不错的,1
三防也不错,1
动态磁贴更新不及时,-1
播放影像速度不错,1
